number_of_examples,time
2,0.26
10,0.74
20,1.46
30,2.25
40,3.1
50,4.05
60,5.03
70,6.21
80,7.47
90,9.08
100,10.5
110,12.42
120,14.1
130,16.09
140,18.46
150,21.96
160,24.85
170,27.86
180,31.29
190,37.35
200,41.57
210,46.5
220,51.87
230,58.13
240,65.04
250,76.08
260,83.0
270,91.84
280,101.54
290,112.03
300,124.22
310,136.04
320,157.55
330,176.25
340,192.94
350,210.02
360,229.96
370,251.85
380,276.69
390,300.17
400,339.84
410,377.58
420,409.78
430,446.84
440,483.61
450,526.95
460,567.27
470,616.88
480,665.89
