task,#examples,#sketched,#solutions,#before_dominance
ours,2,5,4,24
ours,4,5,4,12
ours,6,5,4,12
ours,8,5,4,12
ours,10,5,4,12
ours,12,5,4,12
ours,14,5,4,12
ours,16,5,4,12
ours,18,5,4,12
ours,20,5,4,12
ours,20,5,4,12
ours,30,5,4,12
ours,40,5,4,12
ours,50,5,4,12
ours,60,5,4,12
ours,70,5,4,12
ours,80,5,4,12
ours,90,5,4,12
ours,100,5,4,12
potassco,2,5,11,477
potassco,4,5,11,477
potassco,6,5,11,477
potassco,8,5,11,459
potassco,10,5,11,459
potassco,12,5,11,459
potassco,14,5,11,459
potassco,16,5,11,459
potassco,18,5,11,423
potassco,20,5,11,423
potassco,20,5,11,423
potassco,30,5,11,423
potassco,40,5,11,369
potassco,50,5,11,369
potassco,60,5,11,369
potassco,70,5,11,369
potassco,80,5,11,369
potassco,90,5,11,369
potassco,100,5,11,369
hakank,2,5,36,280
hakank,4,5,24,60
hakank,6,5,12,22
hakank,8,5,12,22
hakank,10,5,12,22
hakank,12,5,12,22
hakank,14,5,12,22
hakank,16,5,12,22
hakank,18,5,12,20
hakank,20,5,12,20
hakank,20,5,12,20
hakank,30,5,12,16
hakank,40,5,12,16
hakank,50,5,12,16
hakank,60,5,12,16
hakank,70,5,12,16
hakank,80,5,12,16
hakank,90,5,12,16
hakank,100,5,12,16
tson,2,5,27,243
tson,4,5,18,162
tson,6,5,15,135
tson,8,5,8,72
tson,10,5,8,72
tson,12,5,8,72
tson,14,5,8,72
tson,16,5,8,72
tson,18,5,8,72
tson,20,5,8,72
tson,20,5,8,72
tson,30,5,8,72
tson,40,5,8,72
tson,50,5,8,72
tson,60,5,8,72
tson,70,5,8,72
tson,80,5,8,72
tson,90,5,8,72
tson,100,5,8,72
ours,2,5,5,30
ours,4,5,5,21
ours,6,5,4,15
ours,8,5,4,15
ours,10,5,4,15
ours,12,5,4,15
ours,14,5,4,15
ours,16,5,4,15
ours,18,5,4,12
ours,20,5,4,12
ours,20,5,4,12
ours,30,5,4,12
ours,40,5,4,12
ours,50,5,4,12
ours,60,5,4,12
ours,70,5,4,12
ours,80,5,4,12
ours,90,5,4,12
ours,100,5,4,12
potassco,2,5,11,189
potassco,4,5,11,147
potassco,6,5,11,129
potassco,8,5,11,129
potassco,10,5,11,129
potassco,12,5,11,129
potassco,14,5,11,129
potassco,16,5,11,129
potassco,18,5,11,123
potassco,20,5,11,123
potassco,20,5,11,123
potassco,30,5,11,123
potassco,40,5,11,123
potassco,50,5,11,123
potassco,60,5,11,123
potassco,70,5,11,123
potassco,80,5,11,123
potassco,90,5,11,123
potassco,100,5,11,123
hakank,2,5,8,72
hakank,4,5,8,72
hakank,6,5,4,36
hakank,8,5,4,36
hakank,10,5,4,36
hakank,12,5,4,36
hakank,14,5,4,36
