task,#examples,#sketched,time(s)
ours,2,5,0.06
ours,4,5,0.06
ours,6,5,0.07
ours,8,5,0.08
ours,10,5,0.08
ours,12,5,0.1
ours,14,5,0.11
ours,16,5,0.14
ours,18,5,0.13
ours,20,5,0.15
ours,20,5,0.15
ours,30,5,0.17
ours,40,5,0.21
ours,50,5,0.26
ours,60,5,0.31
ours,70,5,0.34
ours,80,5,0.38
ours,90,5,0.45
ours,100,5,0.48
potassco,2,5,0.16
potassco,4,5,0.19
potassco,6,5,0.22
potassco,8,5,0.32
potassco,10,5,0.32
potassco,12,5,0.31
potassco,14,5,0.36
potassco,16,5,0.58
potassco,18,5,0.42
potassco,20,5,0.43
potassco,20,5,0.44
potassco,30,5,0.59
potassco,40,5,0.69
potassco,50,5,0.82
potassco,60,5,0.98
potassco,70,5,1.09
potassco,80,5,1.19
potassco,90,5,1.32
potassco,100,5,1.52
hakank,2,5,0.11
hakank,4,5,0.07
hakank,6,5,0.07
hakank,8,5,0.08
hakank,10,5,0.08
hakank,12,5,0.09
hakank,14,5,0.09
hakank,16,5,0.1
hakank,18,5,0.1
hakank,20,5,0.1
hakank,20,5,0.1
hakank,30,5,0.12
hakank,40,5,0.15
hakank,50,5,0.17
hakank,60,5,0.19
hakank,70,5,0.21
hakank,80,5,0.26
hakank,90,5,0.27
hakank,100,5,0.27
tson,2,5,0.12
tson,4,5,0.1
tson,6,5,0.09
tson,8,5,0.08
tson,10,5,0.09
tson,12,5,0.1
tson,14,5,0.1
tson,16,5,0.11
tson,18,5,0.11
tson,20,5,0.1
tson,20,5,0.1
tson,30,5,0.12
tson,40,5,0.14
tson,50,5,0.16
tson,60,5,0.25
tson,70,5,0.19
tson,80,5,0.21
tson,90,5,0.23
tson,100,5,0.26
ours,2,5,0.08
ours,4,5,0.1
ours,6,5,0.11
ours,8,5,0.12
ours,10,5,0.14
ours,12,5,0.17
ours,14,5,0.18
ours,16,5,0.2
ours,18,5,0.23
ours,20,5,0.26
ours,20,5,0.26
ours,30,5,0.34
ours,40,5,0.44
ours,50,5,0.53
ours,60,5,0.62
ours,70,5,0.72
ours,80,5,0.82
ours,90,5,0.98
ours,100,5,1.03
potassco,2,5,0.11
potassco,4,5,0.12
potassco,6,5,0.13
potassco,8,5,0.15
potassco,10,5,0.16
potassco,12,5,0.18
potassco,14,5,0.19
potassco,16,5,0.23
potassco,18,5,0.24
potassco,20,5,0.25
potassco,20,5,0.25
potassco,30,5,0.35
potassco,40,5,0.48
potassco,50,5,0.52
potassco,60,5,0.61
potassco,70,5,0.71
potassco,80,5,0.84
potassco,90,5,0.88
potassco,100,5,0.98
hakank,2,5,0.08
hakank,4,5,0.08
hakank,6,5,0.09
hakank,8,5,0.09
hakank,10,5,0.1
hakank,12,5,0.11
hakank,14,5,0.12
hakank,16,5,0.14
hakank,18,5,0.14
hakank,20,5,0.15
hakank,20,5,0.16
hakank,30,5,0.2
hakank,40,5,0.26
hakank,50,5,0.3
hakank,60,5,0.34
hakank,70,5,0.37
hakank,80,5,0.42
hakank,90,5,0.48
hakank,100,5,0.52
tson,2,5,0.5
tson,4,5,0.5
tson,6,5,0.5
tson,8,5,0.56
tson,10,5,0.6
tson,12,5,0.8
tson,14,5,0.67
tson,16,5,0.65
tson,18,5,0.65
tson,20,5,0.73
tson,20,5,0.69
tson,30,5,0.86
tson,40,5,1.2
tson,50,5,1.27
tson,60,5,1.39
tson,70,5,1.77
tson,80,5,1.76
tson,90,5,1.95
tson,100,5,2.33
ours,2,5,0.11
ours,4,5,0.11
ours,6,5,0.12
ours,8,5,0.13
ours,10,5,0.14
ours,12,5,0.15
ours,14,5,0.19
ours,16,5,0.23
ours,18,5,0.2
ours,20,5,0.21
ours,20,5,0.21
ours,30,5,0.55
ours,40,5,0.32
ours,50,5,0.52
ours,60,5,0.63
ours,70,5,0.81
ours,80,5,0.66
ours,90,5,0.62
ours,100,5,0.71
potassco,2,5,0.45
potassco,4,5,0.38
potassco,6,5,0.4
potassco,8,5,0.62
potassco,10,5,0.52
potassco,12,5,0.75
potassco,14,5,0.54
potassco,16,5,0.56
potassco,18,5,0.69
potassco,20,5,0.74
potassco,20,5,0.57
potassco,30,5,0.76
potassco,40,5,0.85
potassco,50,5,1.15
potassco,60,5,1.1
potassco,70,5,1.24
potassco,80,5,1.55
potassco,90,5,1.53
potassco,100,5,1.86
hakank,2,5,0.08
hakank,4,5,0.09
hakank,6,5,0.09
hakank,8,5,0.11
hakank,10,5,0.11
hakank,12,5,0.11
hakank,14,5,0.12
hakank,16,5,0.16
hakank,18,5,0.2
hakank,20,5,0.21
hakank,20,5,0.22
hakank,30,5,0.29
hakank,40,5,0.35
hakank,50,5,0.43
hakank,60,5,0.5
hakank,70,5,0.58
hakank,80,5,0.64
hakank,90,5,0.74
hakank,100,5,0.8
tson,2,5,1.62
tson,4,5,1.71
tson,6,5,1.54
tson,8,5,1.78
tson,10,5,1.71
tson,12,5,1.78
tson,14,5,1.85
tson,16,5,2.21
tson,18,5,2.07
tson,20,5,2.37
tson,20,5,2.17
tson,30,5,2.56
tson,40,5,3.1
tson,50,5,4.55
tson,60,5,3.67
tson,70,5,4.75
tson,80,5,5.0
tson,90,5,5.64
tson,100,5,5.38
ours,2,5,0.07
ours,4,5,0.08
ours,6,5,0.08
ours,8,5,0.09
ours,10,5,0.09
ours,12,5,0.11
ours,14,5,0.11
ours,16,5,0.12
ours,18,5,0.16
ours,20,5,0.19
ours,20,5,0.17
ours,30,5,0.17
ours,40,5,0.21
ours,50,5,0.31
ours,60,5,0.3
ours,70,5,0.4
ours,80,5,0.38
ours,90,5,0.39
ours,100,5,0.43
potassco,2,5,0.68
potassco,4,5,0.64
potassco,6,5,0.24
potassco,8,5,0.25
potassco,10,5,0.26
potassco,12,5,0.29
potassco,14,5,0.37
potassco,16,5,0.33
potassco,18,5,0.35
potassco,20,5,0.37
potassco,20,5,0.37
potassco,30,5,0.47
potassco,40,5,0.57
potassco,50,5,0.77
potassco,60,5,0.84
potassco,70,5,1.06
potassco,80,5,1.05
potassco,90,5,1.06
potassco,100,5,1.42
hakank,2,5,0.07
hakank,4,5,0.09
hakank,6,5,0.11
hakank,8,5,0.11
hakank,10,5,0.08
hakank,12,5,0.08
hakank,14,5,0.09
hakank,16,5,0.1
hakank,18,5,0.11
hakank,20,5,0.12
hakank,20,5,0.12
hakank,30,5,0.15
hakank,40,5,0.18
hakank,50,5,0.2
hakank,60,5,0.24
hakank,70,5,0.27
hakank,80,5,0.31
hakank,90,5,0.34
hakank,100,5,0.48
tson,2,5,0.48
tson,4,5,0.54
tson,6,5,0.55
tson,8,5,0.52
tson,10,5,0.52
tson,12,5,0.56
tson,14,5,0.57
tson,16,5,0.63
tson,18,5,0.83
tson,20,5,0.69
tson,20,5,0.7
tson,30,5,0.87
tson,40,5,1.16
tson,50,5,1.43
tson,60,5,1.41
tson,70,5,1.98
tson,80,5,2.33
tson,90,5,2.09
tson,100,5,2.51
ours,2,5,0.08
ours,4,5,0.08
ours,6,5,0.09
ours,8,5,0.1
ours,10,5,0.1
ours,12,5,0.12
ours,14,5,0.12
ours,16,5,0.15
ours,18,5,0.16
ours,20,5,0.16
ours,20,5,0.16
ours,30,5,0.21
ours,40,5,0.26
ours,50,5,0.3
ours,60,5,0.35
ours,70,5,0.39
ours,80,5,0.45
ours,90,5,0.51
ours,100,5,0.58
potassco,2,5,0.46
potassco,4,5,0.65
potassco,6,5,0.5
potassco,8,5,0.52
potassco,10,5,0.57
potassco,12,5,0.61
potassco,14,5,0.58
potassco,16,5,0.61
potassco,18,5,0.61
potassco,20,5,0.64
potassco,20,5,0.65
potassco,30,5,0.84
potassco,40,5,1.04
potassco,50,5,1.4
potassco,60,5,1.41
potassco,70,5,1.63
potassco,80,5,1.99
potassco,90,5,2.03
potassco,100,5,2.19
hakank,2,5,0.07
hakank,4,5,0.08
hakank,6,5,0.07
hakank,8,5,0.08
hakank,10,5,0.08
hakank,12,5,0.09
hakank,14,5,0.09
hakank,16,5,0.13
hakank,18,5,0.17
hakank,20,5,0.18
hakank,20,5,0.18
hakank,30,5,0.23
hakank,40,5,0.29
hakank,50,5,0.35
hakank,60,5,0.41
hakank,70,5,0.46
hakank,80,5,0.53
hakank,90,5,0.58
hakank,100,5,0.64
tson,2,5,0.08
tson,4,5,0.07
tson,6,5,0.07
tson,8,5,0.07
tson,10,5,0.07
tson,12,5,0.08
tson,14,5,0.08
tson,16,5,0.08
tson,18,5,0.08
tson,20,5,0.09
tson,20,5,0.09
tson,30,5,0.1
tson,40,5,0.11
tson,50,5,0.13
tson,60,5,0.13
tson,70,5,0.15
tson,80,5,0.16
tson,90,5,0.17
tson,100,5,0.19
ours,2,5,0.06
ours,4,5,0.07
ours,6,5,0.08
ours,8,5,0.08
ours,10,5,0.09
ours,12,5,0.11
ours,14,5,0.11
ours,16,5,0.13
ours,18,5,0.14
ours,20,5,0.15
ours,20,5,0.15
ours,30,5,0.19
ours,40,5,0.25
ours,50,5,0.29
ours,60,5,0.34
ours,70,5,0.39
ours,80,5,0.43
ours,90,5,0.48
ours,100,5,0.52
potassco,2,5,0.17
potassco,4,5,0.08
potassco,6,5,0.09
potassco,8,5,0.09
potassco,10,5,0.09
potassco,12,5,0.1
potassco,14,5,0.1
potassco,16,5,0.11
potassco,18,5,0.11
potassco,20,5,0.12
potassco,20,5,0.11
potassco,30,5,0.14
potassco,40,5,0.16
potassco,50,5,0.17
potassco,60,5,0.2
potassco,70,5,0.22
potassco,80,5,0.24
potassco,90,5,0.26
potassco,100,5,0.28
hakank,2,5,0.3
hakank,4,5,0.47
hakank,6,5,0.59
hakank,8,5,0.74
hakank,10,5,0.9
hakank,12,5,1.06
hakank,14,5,1.24
hakank,16,5,1.41
hakank,18,5,1.56
hakank,20,5,1.72
hakank,20,5,1.72
hakank,30,5,2.48
hakank,40,5,3.24
hakank,50,5,4.1
hakank,60,5,4.92
hakank,70,5,5.81
hakank,80,5,6.71
hakank,90,5,7.57
hakank,100,5,8.62
tson,2,5,0.35
tson,4,5,0.38
tson,6,5,0.38
tson,8,5,0.4
tson,10,5,0.43
tson,12,5,0.46
tson,14,5,0.49
tson,16,5,0.53
tson,18,5,0.55
tson,20,5,0.76
tson,20,5,0.59
tson,30,5,0.72
tson,40,5,0.86
tson,50,5,1.0
tson,60,5,1.34
tson,70,5,1.5
tson,80,5,1.52
tson,90,5,1.8
tson,100,5,1.72
ours,2,5,0.11
ours,4,5,0.13
ours,6,5,0.16
ours,8,5,0.19
ours,10,5,0.21
ours,12,5,0.25
ours,14,5,0.27
ours,16,5,0.31
ours,18,5,0.35
ours,20,5,0.37
ours,20,5,0.37
ours,30,5,0.52
ours,40,5,0.66
ours,50,5,0.8
ours,60,5,0.94
ours,70,5,1.1
ours,80,5,1.26
ours,90,5,1.41
ours,100,5,1.55
potassco,2,5,0.26
potassco,4,5,0.27
potassco,6,5,0.31
potassco,8,5,0.35
potassco,10,5,0.38
potassco,12,5,0.42
potassco,14,5,0.46
potassco,16,5,0.51
potassco,18,5,0.72
potassco,20,5,0.58
potassco,20,5,0.58
potassco,30,5,0.77
potassco,40,5,0.96
potassco,50,5,1.14
potassco,60,5,1.5
potassco,70,5,1.52
potassco,80,5,1.7
potassco,90,5,1.91
potassco,100,5,2.28
hakank,2,5,0.09
hakank,4,5,0.08
hakank,6,5,0.08
hakank,8,5,0.08
hakank,10,5,0.08
hakank,12,5,0.09
hakank,14,5,0.09
hakank,16,5,0.09
hakank,18,5,0.09
hakank,20,5,0.1
hakank,20,5,0.1
hakank,30,5,0.11
hakank,40,5,0.13
hakank,50,5,0.14
hakank,60,5,0.16
hakank,70,5,0.17
hakank,80,5,0.19
hakank,90,5,0.21
hakank,100,5,0.22
tson,2,5,0.57
tson,4,5,0.33
tson,6,5,0.21
tson,8,5,0.21
tson,10,5,0.22
tson,12,5,0.24
tson,14,5,0.25
tson,16,5,0.26
tson,18,5,0.25
tson,20,5,0.27
tson,20,5,0.27
tson,30,5,0.33
tson,40,5,0.56
tson,50,5,0.45
tson,60,5,0.52
tson,70,5,0.57
tson,80,5,0.63
tson,90,5,0.68
tson,100,5,0.93
ours,2,5,0.16
ours,4,5,0.16
ours,6,5,0.16
ours,8,5,0.17
ours,10,5,0.19
ours,12,5,0.2
ours,14,5,0.21
ours,16,5,0.23
ours,18,5,0.25
ours,20,5,0.26
ours,20,5,0.26
ours,30,5,0.33
ours,40,5,0.4
ours,50,5,0.48
ours,60,5,0.53
ours,70,5,0.64
ours,80,5,0.89
ours,90,5,0.79
ours,100,5,0.86
potassco,2,5,0.08
potassco,4,5,0.09
potassco,6,5,0.11
potassco,8,5,0.13
potassco,10,5,0.14
potassco,12,5,0.16
potassco,14,5,0.18
potassco,16,5,0.2
potassco,18,5,0.22
potassco,20,5,0.24
potassco,20,5,0.24
potassco,30,5,0.32
potassco,40,5,0.4
potassco,50,5,0.49
potassco,60,5,0.58
potassco,70,5,0.66
potassco,80,5,0.75
potassco,90,5,0.84
potassco,100,5,0.94
hakank,2,5,0.1
hakank,4,5,0.13
hakank,6,5,0.16
hakank,8,5,0.17
hakank,10,5,0.2
hakank,12,5,0.23
hakank,14,5,0.25
hakank,16,5,0.28
hakank,18,5,0.31
hakank,20,5,0.33
hakank,20,5,0.34
hakank,30,5,0.47
hakank,40,5,0.6
hakank,50,5,0.74
hakank,60,5,0.88
hakank,70,5,1.01
hakank,80,5,1.13
hakank,90,5,1.28
hakank,100,5,1.42
tson,2,5,0.37
tson,4,5,0.42
tson,6,5,0.45
tson,8,5,0.49
tson,10,5,0.7
tson,12,5,0.61
tson,14,5,0.35
tson,16,5,0.37
tson,18,5,0.4
tson,20,5,0.43
tson,20,5,0.43
tson,30,5,0.57
tson,40,5,0.72
tson,50,5,0.85
tson,60,5,0.99
tson,70,5,1.32
tson,80,5,1.28
tson,90,5,1.43
tson,100,5,1.58
ours,2,5,0.13
ours,4,5,0.15
ours,6,5,0.16
ours,8,5,0.19
ours,10,5,0.22
ours,12,5,0.25
ours,14,5,0.28
ours,16,5,0.32
ours,18,5,0.34
ours,20,5,0.37
ours,20,5,0.37
ours,30,5,0.51
ours,40,5,0.66
ours,50,5,0.8
ours,60,5,0.95
ours,70,5,1.1
ours,80,5,1.24
ours,90,5,1.41
ours,100,5,1.54
potassco,2,5,0.1
potassco,4,5,0.09
potassco,6,5,0.08
potassco,8,5,0.08
potassco,10,5,0.09
potassco,12,5,0.09
potassco,14,5,0.1
potassco,16,5,0.1
potassco,18,5,0.11
potassco,20,5,0.11
potassco,20,5,0.11
potassco,30,5,0.13
potassco,40,5,0.16
potassco,50,5,0.19
potassco,60,5,0.21
potassco,70,5,0.23
potassco,80,5,0.25
potassco,90,5,0.27
potassco,100,5,0.3
hakank,2,5,0.07
hakank,4,5,0.08
hakank,6,5,0.08
hakank,8,5,0.08
hakank,10,5,0.09
hakank,12,5,0.09
hakank,14,5,0.1
hakank,16,5,0.12
hakank,18,5,0.12
hakank,20,5,0.13
hakank,20,5,0.13
hakank,30,5,0.16
hakank,40,5,0.19
hakank,50,5,0.22
hakank,60,5,0.26
hakank,70,5,0.29
hakank,80,5,0.32
hakank,90,5,0.36
hakank,100,5,0.39
tson,2,5,0.79
tson,4,5,0.93
tson,6,5,1.01
tson,8,5,1.21
tson,10,5,1.58
tson,12,5,1.59
tson,14,5,1.79
tson,16,5,1.96
tson,18,5,2.16
tson,20,5,2.52
tson,20,5,2.34
tson,30,5,3.24
tson,40,5,4.21
tson,50,5,5.3
tson,60,5,6.24
tson,70,5,7.05
tson,80,5,8.06
tson,90,5,8.82
tson,100,5,9.89
ours,2,5,0.1
ours,4,5,0.11
ours,6,5,0.12
ours,8,5,0.13
ours,10,5,0.14
ours,12,5,0.15
ours,14,5,0.16
ours,16,5,0.18
ours,18,5,0.19
ours,20,5,0.2
ours,20,5,0.36
ours,30,5,0.25
ours,40,5,0.31
ours,50,5,0.36
ours,60,5,0.42
ours,70,5,0.48
ours,80,5,0.54
ours,90,5,0.6
ours,100,5,0.66
potassco,2,5,0.16
potassco,4,5,0.13
potassco,6,5,0.15
potassco,8,5,0.17
potassco,10,5,0.19
potassco,12,5,0.21
potassco,14,5,0.22
potassco,16,5,0.25
potassco,18,5,0.27
potassco,20,5,0.29
potassco,20,5,0.29
potassco,30,5,0.39
potassco,40,5,0.5
potassco,50,5,0.59
potassco,60,5,0.69
potassco,70,5,0.78
potassco,80,5,1.05
potassco,90,5,0.99
potassco,100,5,1.09
hakank,2,5,0.09
hakank,4,5,0.11
hakank,6,5,0.13
hakank,8,5,0.15
hakank,10,5,0.17
hakank,12,5,0.19
hakank,14,5,0.21
hakank,16,5,0.23
hakank,18,5,0.26
hakank,20,5,0.28
hakank,20,5,0.28
hakank,30,5,0.39
hakank,40,5,0.49
hakank,50,5,0.61
hakank,60,5,0.7
hakank,70,5,0.81
hakank,80,5,0.91
hakank,90,5,1.03
hakank,100,5,1.14
tson,2,5,1.12
tson,4,5,0.86
tson,6,5,0.93
tson,8,5,0.99
tson,10,5,1.22
tson,12,5,1.13
tson,14,5,1.19
tson,16,5,1.27
tson,18,5,1.49
tson,20,5,1.37
tson,20,5,1.4
tson,30,5,1.87
tson,40,5,2.21
tson,50,5,2.36
tson,60,5,2.85
tson,70,5,3.14
tson,80,5,3.28
tson,90,5,3.95
tson,100,5,3.92
ours,2,5,0.08
ours,4,5,0.1
ours,6,5,0.12
ours,8,5,0.14
ours,10,5,0.17
ours,12,5,0.19
ours,14,5,0.22
ours,16,5,0.24
ours,18,5,0.26
ours,20,5,0.28
ours,20,5,0.28
ours,30,5,0.39
ours,40,5,0.5
ours,50,5,0.61
ours,60,5,0.71
ours,70,5,0.85
ours,80,5,0.95
ours,90,5,1.07
ours,100,5,1.18
potassco,2,5,0.23
potassco,4,5,0.14
potassco,6,5,0.14
potassco,8,5,0.15
potassco,10,5,0.17
potassco,12,5,0.18
potassco,14,5,0.3
potassco,16,5,0.22
potassco,18,5,0.24
potassco,20,5,0.23
potassco,20,5,0.23
potassco,30,5,0.29
potassco,40,5,0.34
potassco,50,5,0.4
potassco,60,5,0.63
potassco,70,5,0.51
potassco,80,5,0.54
potassco,90,5,0.6
potassco,100,5,0.65
hakank,2,5,0.07
hakank,4,5,0.07
hakank,6,5,0.07
hakank,8,5,0.07
hakank,10,5,0.07
hakank,12,5,0.07
hakank,14,5,0.08
hakank,16,5,0.08
hakank,18,5,0.08
hakank,20,5,0.09
hakank,20,5,0.09
hakank,30,5,0.1
hakank,40,5,0.11
hakank,50,5,0.13
hakank,60,5,0.13
hakank,70,5,0.15
hakank,80,5,0.16
hakank,90,5,0.18
hakank,100,5,0.19
tson,2,5,0.11
tson,4,5,0.11
tson,6,5,0.12
tson,8,5,0.12
tson,10,5,0.13
tson,12,5,0.14
tson,14,5,0.15
tson,16,5,0.16
tson,18,5,0.16
tson,20,5,0.17
tson,20,5,0.17
tson,30,5,0.17
tson,40,5,0.19
tson,50,5,0.23
tson,60,5,0.24
tson,70,5,0.45
tson,80,5,0.3
tson,90,5,0.34
tson,100,5,0.37
ours,2,5,0.09
ours,4,5,0.11
ours,6,5,0.13
ours,8,5,0.16
ours,10,5,0.18
ours,12,5,0.21
ours,14,5,0.23
ours,16,5,0.26
ours,18,5,0.29
ours,20,5,0.31
ours,20,5,0.31
ours,30,5,0.43
ours,40,5,0.54
ours,50,5,0.65
ours,60,5,0.77
ours,70,5,0.9
ours,80,5,1.03
ours,90,5,1.16
ours,100,5,1.27
potassco,2,5,0.09
potassco,4,5,0.07
potassco,6,5,0.08
potassco,8,5,0.08
potassco,10,5,0.09
potassco,12,5,0.09
potassco,14,5,0.09
potassco,16,5,0.1
potassco,18,5,0.1
potassco,20,5,0.11
potassco,20,5,0.11
potassco,30,5,0.13
potassco,40,5,0.15
potassco,50,5,0.18
potassco,60,5,0.19
potassco,70,5,0.22
potassco,80,5,0.24
potassco,90,5,0.27
potassco,100,5,0.29
hakank,2,5,0.07
hakank,4,5,0.07
hakank,6,5,0.09
hakank,8,5,0.09
hakank,10,5,0.1
hakank,12,5,0.11
hakank,14,5,0.13
hakank,16,5,0.13
hakank,18,5,0.14
hakank,20,5,0.15
hakank,20,5,0.15
hakank,30,5,0.2
hakank,40,5,0.25
hakank,50,5,0.29
hakank,60,5,0.34
hakank,70,5,0.39
hakank,80,5,0.43
hakank,90,5,0.49
hakank,100,5,0.53
tson,2,5,1.24
tson,4,5,1.28
tson,6,5,1.31
tson,8,5,1.32
tson,10,5,1.37
tson,12,5,1.4
tson,14,5,1.42
tson,16,5,0.82
tson,18,5,0.84
tson,20,5,0.86
tson,20,5,0.88
tson,30,5,1.04
tson,40,5,1.36
tson,50,5,1.33
tson,60,5,1.5
tson,70,5,1.83
tson,80,5,1.8
tson,90,5,2.13
tson,100,5,2.13
ours,2,5,0.1
ours,4,5,0.11
ours,6,5,0.12
ours,8,5,0.12
ours,10,5,0.13
ours,12,5,0.15
ours,14,5,0.16
ours,16,5,0.18
ours,18,5,0.19
ours,20,5,0.2
ours,20,5,0.2
ours,30,5,0.26
ours,40,5,0.32
ours,50,5,0.37
ours,60,5,0.42
ours,70,5,0.48
ours,80,5,0.55
ours,90,5,0.6
ours,100,5,0.83
potassco,2,5,0.84
potassco,4,5,0.86
potassco,6,5,0.83
potassco,8,5,0.9
potassco,10,5,1.12
potassco,12,5,1.06
potassco,14,5,1.11
potassco,16,5,1.19
potassco,18,5,1.43
potassco,20,5,1.3
potassco,20,5,1.3
potassco,30,5,1.79
potassco,40,5,1.84
potassco,50,5,2.32
potassco,60,5,2.44
potassco,70,5,2.9
potassco,80,5,3.21
potassco,90,5,3.54
potassco,100,5,3.59
hakank,2,5,0.18
hakank,4,5,0.1
hakank,6,5,0.1
hakank,8,5,0.11
hakank,10,5,0.11
hakank,12,5,0.12
hakank,14,5,0.28
hakank,16,5,0.12
hakank,18,5,0.13
hakank,20,5,0.13
hakank,20,5,0.13
hakank,30,5,0.16
