number_of_examples,time
2,0.56
10,2.64
20,5.3
30,7.87
40,10.52
50,13.13
60,15.78
70,18.47
80,21.13
90,23.95
100,26.52
110,29.45
120,31.93
130,34.88
140,37.37
150,40.07
160,42.85
170,45.69
180,48.39
190,51.09
200,53.89
210,56.46
220,58.82
230,61.61
240,64.38
250,67.58
260,69.97
270,72.82
280,75.28
290,78.34
300,81.18
310,83.75
320,86.67
330,89.57
340,92.2
350,94.99
360,97.51
370,100.34
380,102.69
390,107.03
400,108.55
410,111.4
420,114.09
430,116.78
440,119.24
450,122.31
460,124.72
470,127.3
480,130.37
490,133.42
500,136.33
