sketch,number_of_examples,overall_examples,number_of_solutions,before_dominance_check
exact_cover,4,4,1,3
exact_cover,3,4,4,12
exact_cover,2,4,4,12
exact_cover,1,4,24,252
fap,7,6,1,1
fap,6,6,2,2
fap,5,6,10,4
fap,4,6,28,46
fap,3,6,52,92
fap,2,6,88,138
fap,1,6,146,1173
3d_matching,4,4,1,3
3d_matching,3,4,1,3
3d_matching,2,4,2,6
3d_matching,1,4,2,32
feedback_vertex_set,2,2,1,1
feedback_vertex_set,1,2,15,15
set_splitting,2,2,1,11
set_splitting,1,2,36,182
feedback_arc_set,2,2,1,1
feedback_arc_set,1,2,14,14
clique,2,2,1,5
clique,1,2,1,5
black_white_queens,4,4,1,1
black_white_queens,3,4,3,3
black_white_queens,2,4,13,27
black_white_queens,1,4,37,1107
sudoku,3,3,1,9
sudoku,2,3,2,18
sudoku,1,3,4,36
subgraph_isomorphism,3,3,1,3
subgraph_isomorphism,2,3,2,6
subgraph_isomorphism,1,3,12,36
set_packing,3,3,1,3
set_packing,2,3,1,3
set_packing,1,3,9,63
vertex_cover,2,2,1,1
vertex_cover,1,2,4,4
hitting_set,2,2,1,1
hitting_set,1,2,4,4
domination_set,2,2,1,1
domination_set,1,2,4,4
ham,2,2,1,1
ham,1,2,4,4
graph_coloring,2,2,1,632
graph_coloring,1,2,121,15376
clique_cover,2,2,1,11
clique_cover,1,2,21,341
edge_coloring,2,2,2,18
edge_coloring,1,2,3,27
latin_square,3,3,1,9
latin_square,2,3,2,18
latin_square,1,3,4,36
regular_queens,3,3,1,90
regular_queens,2,3,11,1071
regular_queens,1,3,20,1629
edge_domination_set,2,2,1,1
edge_domination_set,1,2,7,7
