number_of_examples,time
2,0.05
10,0.05
20,0.07
30,0.07
40,0.09
50,0.1
60,0.12
70,0.13
80,0.15
90,0.15
100,0.18
110,0.18
120,0.2
130,0.21
140,0.22
150,0.24
160,0.27
170,0.29
180,0.31
190,0.31
200,0.33
210,0.35
220,0.36
230,0.38
240,0.39
250,0.41
260,0.42
270,0.44
280,0.46
290,0.47
300,0.49
310,0.51
320,0.52
330,0.54
340,0.56
350,0.57
360,0.58
370,0.59
380,0.62
390,0.65
400,0.63
410,0.65
420,0.68
430,0.68
440,0.7
450,0.71
460,0.73
470,0.76
480,0.76
490,0.77
500,0.78
510,0.79
520,0.82
530,0.83
540,0.85
550,0.84
560,0.87
570,0.89
580,0.9
590,0.93
600,0.95
610,0.96
620,0.97
630,1.0
640,1.01
650,1.03
660,1.04
670,1.06
680,1.06
690,1.09
700,1.1
710,1.1
720,1.12
730,1.15
740,1.16
750,1.17
760,1.18
770,1.21
780,1.23
790,1.25
800,1.27
810,1.28
820,1.29
830,1.29
840,1.3
850,1.32
860,1.35
870,1.38
880,1.39
890,1.39
900,1.41
910,1.4
920,1.42
930,1.45
940,1.46
950,1.48
960,1.51
970,1.5
980,1.52
990,1.54
1000,1.54
1010,1.6
1020,1.58
1030,1.6
1040,1.61
1050,1.64
1060,1.64
1070,1.66
1080,1.69
1090,1.7
1100,1.72
1110,1.74
1120,1.74
1130,1.75
1140,1.78
1150,1.82
1160,1.8
1170,1.83
1180,1.84
1190,1.85
1200,1.89
1210,1.92
1220,1.94
1230,1.92
1240,1.95
1250,1.95
1260,1.96
1270,1.98
1280,2.0
1290,2.02
1300,2.02
1310,2.06
1320,2.08
1330,2.09
1340,2.11
1350,2.13
1360,2.15
1370,2.17
1380,2.19
1390,2.2
1400,2.19
1410,2.24
1420,2.22
1430,2.24
1440,2.26
1450,2.29
1460,2.31
1470,2.31
1480,2.34
1490,2.39
1500,2.37
1510,2.38
1520,2.4
1530,2.39
1540,2.43
1550,2.43
1560,2.45
1570,3.04
1580,2.48
1590,2.47
1600,2.53
1610,2.53
1620,2.53
1630,2.54
1640,2.56
1650,2.54
1660,2.56
1670,2.55
1680,2.56
1690,2.58
1700,2.6
1710,2.64
1720,2.65
1730,2.66
1740,2.68
1750,2.7
1760,2.7
1770,2.7
1780,2.77
1790,2.74
1800,2.77
1810,2.8
1820,2.8
1830,2.82
1840,2.84
1850,2.85
1860,2.84
1870,2.87
1880,2.88
1890,2.88
1900,2.92
1910,2.97
1920,2.93
1930,2.98
1940,2.97
1950,3.01
1960,3.04
1970,3.02
1980,3.07
1990,3.04
2000,3.09
